gene,datasets,hedges_g,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,q_value
SERPINA1,3,0.794447779866621,0.14420052824896593,0.5118147444986478,1.077080815234594,3.602094000854095e-08,0.0,0.0,up,3,0,1.0,0.25,0.0001780088390727983
CCL11,3,0.7163922473870608,0.14347473991019852,0.43518175716307167,0.9976027376110499,5.939949099253994e-07,0.0,0.0,up,3,0,1.0,0.25,0.0012608060895437391
SLC49A4,3,0.7095194136156215,0.14311453947890737,0.4290149162369631,0.99002391099428,7.133141322057668e-07,0.0,0.0,up,3,0,1.0,0.25,0.0013164806738300931
VPS52,3,-0.6758045156359358,0.14275990223327245,-0.9556139240131498,-0.3959951072587218,2.202963594544194e-06,0.0,0.0,down,0,3,1.0,0.25,0.0022176833967441027
IL33,3,0.7117577416772319,0.15252358417289513,0.4128115166983575,1.0107039666561064,3.063107615774996e-06,0.006094541809607402,0.1844256998102677,up,3,0,1.0,0.25,0.0029013635022782556
SPARCL1,3,0.6654891118151193,0.14277286879251866,0.3856542889817827,0.9453239346484559,3.1441154131339744e-06,0.0,0.0,up,3,0,1.0,0.25,0.0029013635022782556
SLC40A1,3,0.6612583881487121,0.14302324436149913,0.3809328292001738,0.9415839470972504,3.774406859502477e-06,0.0,0.1882102056592037,up,3,0,1.0,0.25,0.0029538650056530245
CTSH,3,0.6506332402294506,0.1426219890657918,0.37109414166049864,0.9301723387984024,5.068265237495595e-06,0.0,0.0,up,3,0,1.0,0.25,0.0029538650056530245
AMPD3,3,0.637130923150626,0.14252738778025764,0.35777724310132103,0.916484603199931,7.813368434694823e-06,0.0,0.0,up,3,0,1.0,0.25,0.0035561847374659477
CXCL12,3,0.6341950929262941,0.14231019124379454,0.35526711808845673,0.9131230677641313,8.33366488262044e-06,0.0,0.0,up,3,0,1.0,0.25,0.0036913135231078976
RAPGEFL1,3,-0.6432877893844864,0.14555919460534483,-0.9285838108109623,-0.3579917679580105,9.896434330913806e-06,0.001817880660184216,0.31373628207910054,down,0,3,1.0,0.25,0.00398502420230451
NSD2,3,-0.628115748487588,0.14235159139920087,-0.9071248676300216,-0.3491066293451543,1.0221911696972619e-05,0.0,0.0,down,0,3,1.0,0.25,0.004042583542015225
CASP4,3,0.6056388268146222,0.14201014900890185,0.3272989347571746,0.8839787188720698,2.001195656164967e-05,0.0,0.0,up,3,0,1.0,0.25,0.006818535414936234
DNAJC11,3,-0.5930181536634906,0.1421014092961576,-0.8715369158839595,-0.31449939144302175,3.0034593766936624e-05,0.0,0.0,down,0,3,1.0,0.25,0.00898886686697764
SERPINF1,3,0.5842747263386043,0.1419695218879829,0.30601446343815786,0.8625349892390508,3.8635092043382e-05,0.0,0.0,up,3,0,1.0,0.25,0.009437359522813977
FGD5,3,0.5837572475018836,0.14195873619229005,0.30551812456499516,0.8619963704387721,3.9197196147089386e-05,0.0,0.0,up,3,0,1.0,0.25,0.009437359522813977
B3GNT9,3,0.5807051842010214,0.1418565036289833,0.30266643708821406,0.8587439313138286,4.2470867446464666e-05,0.0,0.0,up,3,0,1.0,0.25,0.0099010768561774
EBF3,3,0.575168216236558,0.14178612066876203,0.2972674197257844,0.8530690127473316,4.9794294405769435e-05,0.0,0.0,up,3,0,1.0,0.25,0.011027942382045757
KIF20B,3,-0.5719306127279653,0.14174082102368607,-0.84974262193439,-0.2941186035215406,5.4591798395509095e-05,0.0,0.0,down,0,3,1.0,0.25,0.011853378030052352
RGL1,3,0.5710346797641205,0.14182142486753,0.2930646870237617,0.8490046725044793,5.662900137393123e-05,0.0,0.0,up,3,0,1.0,0.25,0.012095502700391926
KLK12,3,0.5712193966003396,0.14189218438882503,0.29311071519824256,0.8493280780024366,5.679921799073284e-05,0.0,0.0,up,3,0,1.0,0.25,0.012095502700391926
NPC2,3,0.5697804422167503,0.14188504480010894,0.2916857544085368,0.8478751300249638,5.924717523986267e-05,0.0,0.0,up,3,0,1.0,0.25,0.012378747075823005
PNRC1,3,0.6831535581464796,0.17046403811214397,0.34904404344667744,1.0172630728462817,6.133603064784054e-05,0.019904710790074345,0.4240770097851735,up,3,0,1.0,0.25,0.012577861766275228
DEPP1,3,0.5675099973158715,0.14170895001289469,0.2897604552905979,0.8452595393411451,6.208110227667873e-05,0.0,0.0,up,3,0,1.0,0.25,0.012613854790106458
TIMP2,3,0.5668646555459033,0.14166010859992473,0.2892108426900508,0.8445184684017557,6.292016630382591e-05,0.0,0.0,up,3,0,1.0,0.25,0.012668117483007566
